,Unnamed: 0,PMID/PMCID,Publisher,Journal title,Article title,Cost,Cleaned,NewTitle
467,467,,Elsevier,Biochimica et Biophysica Acta (BBA) - Molecular Cell Research,Mitophagy and Parkinson's disease: the PINK1-parkin link,2415.37,0,
468,468,PMC3585959,Elsevier,Biochimie,11?-Hydroxysteroid dehydrogenase type 1 contributes to the regulation of 7-oxysterol levels in the arterial wall through the inter-conversion of 7-ketocholesterol and 7?-hydroxycholesterol.,2315.48,100,
469,469,PMC3314969,Elsevier,Biological Psychiatry,COMT Val158Met Genotyp Determines the Direction of Cognitive Effects Produced by Catechol-O-Methyltrasferse Inhibition,2142.93,100,Biological psychiatry
470,470,PMID: 23245760,Elsevier,Biological Psychiatry,Neural and behavioural aspects of a novel mu opeid receptor antagonist in binge-eating obese people,2330.13,100,Biological psychiatry
471,471,PMID: 23452663,Elsevier,Biological Psychiatry,Counterfactual processing of economic action-outcome alternatives in obsessive-compulsive disorder: further evidence of impaired goal-directed behaviour,2429.17,100,Biological psychiatry
472,472,PMID: 23510580,Elsevier,Biological Psychiatry,Enhanced avoidance habit learning in obsessive-compulsive disorder,2469.95,100,Biological psychiatry
473,473,PMC3580283,Elsevier,BIOLOGICAL PSYCHOLOGY,"The catechol-O-methyltransferase gene (COMT) and cognitive function from childhood through adolescence
",2435.38,100,Biological psychology
474,474,PMC3520009,Elsevier,Biomaterials,"Incorporation of Paramagnetic, Fluorescent and PET/SPECT Contrast Agents into Liposomes for Multimodal Imaging",2329.03,100,
475,475,"PMCID:
    PMC3605579
",Elsevier,Biomaterials,The Effect of Microgrooved Culture Substrates on Calcium Cycling of Cardiac Myocytes Derived from Human Induced Pluripotent Stem Cells,2466.39,100,
476,476,PMC3677098,Elsevier,Bio Systems,Information coding in vasopressin neurons-The role of asynchronous bistable burst firing.,2863.73,100,
477,477,3526774,Elsevier,Bone,The High Bone Mass phenotype is characterised by a combined cortical and trabecular bone phenotype: findings from a pQCT case-control study,2295.39,100,
478,478,3607215,Elsevier,Bone,Male mice housed in groups engage in frequent fighting and show a lower response to additional bone loading than females or individually housed males that do not fight,2328.43,100,
479,479,"PMCID:
    PMC3590448",Elsevier,Bone,Therapeutic Impact of Low Amplitude High Frequency Whole Body Vibrations on the Osteogenesis Imperfecta Mouse Bone,2451.81,100,
480,480,PMC3549493,Elsevier,Brain and Cognition,An fMRI Investigation of Posttraumatic Flashbacks,2345.19,100,Brain and cognition
481,481,"PMC3661989

",Elsevier,Brain and Cognition,Exploring the role of space-defining objects in constructing and maintaining imagined scenes,2457.25,100,Brain and cognition
482,482,"PMC3730055

",Elsevier,Brain and Language,Dissociating frontal regions that co-lateralize with different ventral occipitotemporal regions during word processing,1456.18,100,Brain and language
483,483,"PMC3639368

",Elsevier,Brain and Language,Current themes in neuroimaging studies of Reading,2498.61,100,Brain and language
484,484,,Elsevier,Brain Research,Fibronectin supports neurite outgrowth and axonal regeneration of adult brain neurons in vitro,2272.21,100,Brain research
485,485,23246923 PMC3573228 ,Elsevier,Brain Research,Electrophysiological evidence for a neural substrate of morphological rule,2539.89,100,Brain research
486,486,PMC3644682,Elsevier,Cancer Letters,Snail2 promotes osteosarcoma cell motility through remodelling of the actin cytoskeleton and regulates tumor development,2515.57,100,Cancer letters
487,487,"PMCID:
    PMC3732391",Elsevier,Cell,Genome sequencing reveals loci under artificial selection that underlie disease phenotypes in the laboratory rat,1366.08,100,
488,488,PMC3420011,Elsevier,Cell,"Small-molecule inhibition of BRDT for male contraception, Cell, Elsevier",3208.69,100,
489,489,PMC3326523,Elsevier,Cell,Histone recognition and large-scale structural analysis of the human bromodomain family.,3948.42,100,
490,490,PMC3650559,Elsevier,Cell,Mapping the human miRNA interactome by CLASH reveals frequent non-canonical binding,4163.88,100,
492,492,19324410,Elsevier,Cell calcium,TRPchannel lipid specificity and mechanisms of lipid regulation,2363.14,100,
493,493,"PMCID:
    PMC3510437",Elsevier,Cell Host and Microbe,The Salmonella kinase SteC targets MEK to regulate the host actin cytoskeleton,3838.88,90,Cell host & microbe
494,494,PMCID: PMC3661979,Elsevier,Cell Journal,Exit from Pluripotency is Gated by Intracellular Redistribution of the bHLH transcription factor Tfe3,4041.05,100,Cell journal
495,495,PMCID: PMC3791399,Elsevier,Cell Metabolism,AMP Is a True Physiological Regulator of AMP-Activated Protein Kinase by Both Allosteric Activation and Enhancing Net Phosphorylation,3783.81,100,Cell metabolism
496,496,PMCID: PMC 3690479,Elsevier,Cell Metabolism,Dynamic Adipocyte Phosphoproteome Reveals Akt Directly Regulates mTORC2,3904.46,100,Cell metabolism
497,497,PMID: 23041313 23041313,Elsevier,Cell Reports,Developmental plasticity inbound by pluripotency and the FUF2Wnt signalling pathways,3100.01,100,Cell reports
498,498,PMC3607255,Elsevier,Cell Reports,Asymmetric localizatoin of Cdx2mRNA during the first cell fate decision in early mouse development,3836.32,100,Cell reports
499,499,PMC3629568,Elsevier,Cell stem cell,Short telomeres in ESCs lead to unstable differentiation,3352.04,100,
500,500,PMID: 23040481 PMC3510442 ,Elsevier,Cell stem cell,Signalling from the sympathetic nervous system regulates hematopoietic stem cell emergence during embryogenesis,3716.09,100,
501,501,PMID: 23022959  PMC3715701 ,Elsevier,Cellular Signalling,Functional roles for myosin 1c in cellular signalling pathways,2267.26,100,Cellular signalling
502,502,PMCID: PMC3590450,Elsevier,Cellular Signalling,Analysis of substrate specificity and cyclin Y binding of PCTAIRE-1 kinase.,2400.93,100,Cellular signalling
503,503,PMC3650558,Elsevier,Chemsitry & Biology,A Yeast Chemical Genetic Screen Identifies Inhibitors of Human Telomerase,2184.22,95,Chemistry & biology
504,504,PMC3694302,Elsevier,Clinical Neurology and Neurosurgery,Next generation sequencing for neurological diseases: New hope or new hype?,2455.82,100,Clinical neurology and neurosurgery
505,505,PMC3477630,Elsevier,Clinical Radiology,Chest radiographic patterns in 75 adolescents with vertically acquired HIV infection.,2262.3,100,Clinical radiology
506,506,,Elsevier,Cognition,Belief-based action prediction in preverbal infants,1473.92,100,
507,507,print in press,Elsevier,Cognitive Development,Developmental changes in effects of risk and valence on adolescent decision-making,1439.45,100,Cognitive development
508,508,"PMC3719211

",Elsevier,Consciousness & Cognition,The development of metacognitive ability in adolescence,2386.47,92,Consciousness and cognition
509,509,23773550 PMC3807794 ,Elsevier,Consciousness and Cognition,Do infants provide evidence that the mirror system is involv,1319.74,100,Consciousness and cognition
510,510,PMID:23143153 PMC3566545 ,Elsevier,Consciousness and Cognition,Exploring implicit and explicit aspects of sense of agency,2330.13,100,Consciousness and cognition
511,511,,Elsevier,Cortex; a journal devoted to the study of the nervous system and behavior,Assessing the mechanism of response in the retrosplenial cortex of good and poor navigators,1758.99,100,
512,512,3664921,Elsevier,Cortex; a journal devoted to the study of the nervous system and behavior,"Working, declarative and procedural memory in specific language impairment",2058.64,100,
513,513,"Epub ahead of print pub Nov 2012, print in press due Sept 2013",Elsevier,Cortex; a journal devoted to the study of the nervous system and behavior,Available processing resources influence encoding-related brain activity before an event,2345.19,100,
514,514,Published Sept 2013,Elsevier,Cortex; a journal devoted to the study of the nervous system and behavior,The hippocampus extrapolates beyond the view in scenes: an fMRI study of boundary extension,2351.06,100,
515,515,Epub ahead of print April 2013 - print in press,Elsevier,Cortex; a journal devoted to the study of the nervous system and behavior,Sight and sound out of synch: Fragmentation and renormalisation of audiovisual integration and subjective timing,2420.79,100,
516,516,PMID: 23103187 PMC3502867 ,Elsevier,Current Biology,Substrate-borne vibratory communication during courtship in Drosophila melanogaster,3213.28,94,Current biology : CB
517,517,PMC3396843,Elsevier,Current Biology,Neural circuitry underlying Drosophila female post-mating behavioural responses,3635.15,94,Current biology : CB
518,518,PMCID: 3502862,ELSEVIER,CURRENT BIOLOGY,BLOC-3 MUTATED IN HERMANSKY-PUDLAK SYNDROM IS A RAB32/38 GUANINE NUCLEOTIDE EXCHANGE FACTOR,3798.93,94,Current biology : CB
519,519,PMID: 22902756  PMC3485558 ,Elsevier,Current Biology,Distinct and overlapping roles for AP-1 and GGAs revealed by the 'knocksideways' system,3830.32,94,Current biology : CB
520,520,PMCID: PMC 3525857,Elsevier,Current Biology,NAADP activates two-pore channels on T cell cytolytic granules to stimulate exocytosis and killing,3857.16,94,Current biology : CB
521,521,PMC3510434,Elsevier,Current Biology,Brain structure links loneliness to social perception,3879.05,94,Current biology : CB
522,522,PMC3580286 ,Elsevier,Current Biology,Vinculin regulates the recruitment and release of core focal adhesion proteins in a force-dependent manner,3883.86,94,Current biology : CB
523,523,"PMC3566480

",Elsevier,Current Biology,M1 corticospinal mirror neurons and their role in movement suppression during action observation,3992.37,94,Current biology : CB
524,524,PMC3356578,Elsevier,Current Biology,Disrupted Circadian Rhythms in a Mouse Model of Schizophrenia,348.33,94,Current biology : CB
525,525,PMC3661981,Elsevier,Current Biology,Locomotion Controls Spatial Integration in Mouse Visual Cortex,4077.52,94,Current biology : CB
526,526,,Elsevier,Current Biology,A fovea for pain at the fingertips,4112.54,94,Current biology : CB
527,527,,Elsevier,Current Opinion in Neurobiology ,Analysing connectivity with Granger causality and dynamic causal modelling,2378.95,98,Current opinion in neurobiology
528,528,23932517,Elsevier,Current Opinion Microbiology,The asexual cycle of apicomplexan parasites: new findings that raise new questions.,2979.0,95,Current opinion in microbiology
529,529,PMID: 23267662,Elsevier,Current Opinions in Neurobiology,Updating dopamine reward signals,2429.17,98,Current opinion in neurobiology
530,530,PMCID: 3437444,ELSEVIER,DEVELOPMENT CELL,SMCHD1-DEPENDENT & INDEPENDENT PATHWAYS DETERMINE DEVELOPMENT DYNAMICS OF CPG ISLAND METHYLATION ON THE INACTIVE X CHROMOSOME,3630.64,94,Developmental cell
531,531,PMCID: PMC3677094,Elsevier,Developmental Biology,"The mechanisms of planar cell polarity, growth and the Hippo pathway: Some known unknowns",1981.38,100,Developmental biology
532,532,PMC3414849,Elsevier,Developmental Cell,Forkhead transcription factor Fd3F cooperates with Rfx to regulate a gene expression program for mechanosensory cilia specialisation,2987.0,100,Developmental cell
533,533,PMC3507630 ,Elsevier,Developmental Cell,Rab25 and CLIC3 Collaborate to Promote Integrin Recycling from Late Endosomes/Lysosomes and Drive Cancer Progression,3575.88,100,Developmental cell
534,534,,Elsevier,Developmental Cell,Changes in Ect2 Localization Couple Actomyosin-Dependent Cell Shape Changes to Mitotic Progression,3781.63,100,Developmental cell
535,535,PMID: 23177648 PMC3521961 ,Elsevier,Developmental Cell,Molecular basis for recognition of dilysine trafficking motifs by COPI,3845.38,100,Developmental cell
536,536,,Elsevier,Developmental Cell,The Neuropilin 1 Cytoplasmic Domain Is Required for VEGF-A-Dependent Arteriogenesis,3877.46,100,Developmental cell
537,537,3178012,Elsevier,Developmental Cell,Brat promotes stem cell differentiation via control of a bistable switch that restricts BMP signaling,3877.48,100,Developmental cell
538,538,3782659,Elsevier,Developmental Cell,Autoregulatory feedback controls sequential action of cis-regulatory modules at the brinker locus,3975.75,100,Developmental cell
539,539,,Elsevier,Developmental Cell,Chromosome engineering allows the efficient isolation of vertebrate neocentromeres.,364.17,100,Developmental cell
540,540,PMC3730058,Elsevier,Developmental Cell,"Daughter cell identity emerges from the interplay of Cdc42, septins, and exocytosis ",4002.42,100,Developmental cell
541,541,"PMC3659288

",Elsevier,Developmental Cell,Hec1-dependent cyclin B2 stabilisation regulates the G2-M transition and early prometaphase in mouse oocytes,4076.38,100,Developmental cell
542,542,3605578,Elsevier,Developmental Cell,Syndecan-4 phosphorylation is a control point for integrin recycling,4099.71,100,Developmental cell
543,543,Epub ahead of print - June 2013,Elsevier,Developmental Cognitive Neuroscience ,The influence of reading ability on subsequent changes in verbal IQ in the teenage years,1764.06,99,Developmental cognitive neuroscience
544,544,"PMC3682176

",Elsevier,Developmental Cognitive Neuroscience ,Predicting IQ change from brain structure: A cross-validation study,2457.25,99,Developmental cognitive neuroscience
545,545,3525856,Elsevier,Diagnostic Microbiology and Infectious Disease,Comparison of a Frozen Human Foreskin Fibroblast Cell Assay to an Enzyme Immunoassay and Toxigenic Culture for the Detection of Toxigenic Clostridium difficile,2252.53,100,Diagnostic microbiology and infectious disease
546,546,22155499 PMC3381227,Elsevier,Elsevier,Age related changes in microglial phenotype vary between CNS regions: grey versus white matter differences.,2152.76,0,
547,547,20800751 PMC3778978,Elsevier,Elsevier,The role of self-structure and self-certainty in social anxiety,2174.85,0,
548,548,24064150 PMC3849851,Elsevier,Elsevier,"Birth status, childgrowth nd adult outcomes in low and middle income countries",2198.03,0,
549,549,23620154 PMC3638368,Elsevier,Elsevier,"Transformation of a plasmid-free, genital tract isolate of Chlamydia trachomatis with a plasmid vector carrying a deletion in CDS6 revealed that this gene regulates inclusion phenotype",2269.15,0,
550,550,22591621 PMC3427858,Elsevier,Elsevier,Are slum dwellers at heightened risk of HIV infection than other urban residents? Evidence from population-based HIV prevalence surveys in Kenya,2312.3,0,
551,551,21680110 PMC3629561,Elsevier,Elsevier,Clinician and service user perceptions of implementing contingency management: A focus group study,2470.86,0,
552,552,23541370 PMC3744751,Elsevier,Elsevier,Effects of relative weight gain and linear growth during early life on adult health and human capital in countries of low and middle income: findings from five birth cohort studies,4800.0,0,
553,553,,Elsevier,Endeavour,Understanding life together: a brief history of collaboration in biology,2419.71,100,
554,554,-,Elsevier,Endeavour,"Family influence and psychiatric care: physical treatments in Devon mental hospitals, c. 1920 to the 1970s",615.72,100,
555,555,"PMC3682189


",Elsevier,Epilepsy Research,Assessing hippocampal functional reserve in temporal lobe epilepsy: A multi-voxel pattern analysis of fMRI data,2483.12,100,Epilepsy research
556,556,PMC3526775,Elsevier,European Journal of cell Biology,"Vinculin, an adapter protein in control of cell adhesion signalling",2228.0,100,European journal of cell biology
557,557,PMC3526772,Elsevier,European Journal of Medical Genetics,Array Comparative Genomic Hybridization: Results from an adult population with drug-resistant epilepsy and co-morbidities,2281.08,100,European journal of medical genetics
558,558,23707654 PMC3744815 ,Elsevier,European Journal of Medical Genetics,The internet is parents main source of information about psychiatric manifestationsof 22q11.2 deletion syndrome,2468.5,100,European journal of medical genetics
559,559,3791403,Elsevier,European Neuropsychopharmacology,Systematic Review and Meta Analysis of Serotonin Transporter Genotype and Discontinuation from Antidepressant Treatment,2325.59,0,
561,561,"PMC3562441

",Elsevier,Experimental Eye Research,"Ccl2, Cx3r1 and Ccl2/Cx3cr1 chemokine deficiencies are not sufficient to cause age-related retinal degeneration",2395.43,100,Experimental eye research
562,562,PMID:23220237 PMC3630327,Elsevier,Experimental Hematology,Gene Set Control Analysis (GSCA) predicts haematopoietic control mechanisms from genome-wide transcription factor binding data,2328.24,100,Experimental hematology
563,563,PMCID: PMC3782662,Elsevier,Experimental Neurology,The late response of rat subependymal zone stem and progenitor cells to stroke is restricted to directly affected areas of their niche,1771.93,100,Experimental neurology
564,564,PMC3556781,Elsevier,Experimental Neurology,ErbB1 epidermal growth factor receptor is a valid target for reducing the effects of multiple inhibitors of axonal regeneration,2380.28,100,Experimental neurology
565,565,23183165,Elsevier,Experimental Parasitology,"Development of a multiplex PCR assay for simultaneous detection of Theileria annulata, Babesia bovis and Anaplasma marginale in cattle",2329.56,100,Experimental parasitology
566,566,PMID: 23538029 PMC3659828 ,Elsevier,Experimental Parasitology,Cell density-dependent ectopic expression in bloodstream form Trypanosoma brucei,2441.16,100,Experimental parasitology
567,567,,Elsevier,FEBS Letters,Ca2+-calmodulin inhibits tail-anchored protein insertion into the mammalian endoplasmic reticulum membrane,2228.0,100,FEBS letters
568,568,PMCID: PMC3640159,Elsevier,FEBS Letters,Sialic acids acquired by Pseudomonas aeruginosa are involved in reduced complement deposition and siglec mediated host-cell recognition.,2244.57,100,FEBS letters
569,569,,Elsevier,Febs Letters,Structural and functional evidence for a substrate exclusion mechanism in mammalian tolloid like-1 (TLL-1) proteinase,2362.82,100,FEBS letters
570,570,PMCID: PMC3655261,Elsevier,FEBS Letters,IFN? autocrine feedback is required to sustain TLR induced production of MCP-1 in macrophages,2465.93,100,FEBS letters
571,571,23650598  PMC3642154 ,Elsevier,FEBS open bio,'CD248 expression on mesenchymal stromal cells is required for post-natal and infection-dependent thymus remodelling and regeneration,1254.25,100,
572,572,PMC3502866,Elsevier,Fertility and Sterility,Is early age at menarche a risk factor for endometriosis? A systematic review and meta-analysis of case-control studies.,2169.98,100,Fertility and sterility
573,573,PMC3679489,Elsevier,Fertility and Sterility,Impact of endometriosis on quality of life and work productivity: a multicenter study across ten countries.,2373.76,100,Fertility and sterility
574,574,PMC3679490,Elsevier,Fertility and Sterility,Developing symptom-based predictive models of endometriosis as a clinical screening tool: results from a multicenter study.,2373.76,100,Fertility and sterility
575,575,3684770,Elsevier,Free Radical and Biology Medicine,S[+]apomorphine is a CNS penetrating activator of the Nrf2-ARE pathway with activity in mouse and patient fibroblast models of amyotrophic lateral sclerosis,1755.59,91,Free radical biology & medicine
576,576,3605576,Elsevier,Fungal Biology,Expression and secretion of Aspergillus fumigatus proteases is regulated in response to different protein substrates,2272.01,100,Fungal biology
577,577,PMC3809933,Elsevier,Fungal Ecology,Species-specific PCR to describe local-scale distributions of four cryptic species in the Penicillium chrysogenum complex,2378.19,100,Fungal ecology
578,578,PMC3507624 ,Elsevier,Gastroenterology,Intestinal Dendritic Cells Specialize to Activate Transforming Growth Factor-? and Induce Foxp3+ Regulatory T Cells via Integrin ?v?8,2228.0,100,
579,579,PMC3688188,Elsevier,Gene,Identification of multiple binding sites for the THAP domain of the Galileo transposase in the long terminal inverted-repeats,2406.1,100,
580,580,PMCID: PMC3611593 ,Elsevier,Gene,"Dissecting the mechanisms responsible for the multiple insecticide resistance phenotype in Anopheles gambiae s.s., M form, from VallÃ©e de Kou, Burkina Faso",2445.23,100,
581,581,PMC3725413,Elsevier,Gene,Identification of a SLC19A2 nonsense mutation in Persian families with thiamineresponsive megaloblastic anemia,2468.74,100,
582,582,"PMC3725417

",Elsevier,Gene Therapy,"Gene therapy for PIDs: Progress, pitfalls and prospects",2446.97,100,Gene therapy
583,583,,Elsevier,Health & place,Determinants and spatial patterns,1836.92,100,Health & place
584,584,"PMID: 23376730 PMC3591252 
",Elsevier,Health and Place,Is the environmental setting associated with the intensity and duration of childrenÂs physical activity? Findings from the SPEEDY GPS study,1749.74,87,Health & place
585,585,3690473,Elsevier,Immunobiology,Regulation of TGFbeta in the immune system: an emerging role for integrins and dendritic cells,2317.94,96,
586,586,PMC3556782,Elsevier,Immunity,The Transcription Factor STAT-1 Couples Macrophage Synthesis of 25-Hydroxycholesterol to the Interferon Antiviral Response,3799.84,100,
587,587,"PMCID:     PMC3664922
",Elsevier,Immunity,Dysregulated Hematopoietic Stem and Progenitor Cell Activity Promotes Interleukin-23-Driven Chronic Intestinal Inflammation,4069.66,100,
588,588,PMC3684771 ,Elsevier,Immunology Letters,Sources of heterogeneity in human monocyte subsets,2961.92,100,Immunology letters
589,589,PMC 3438445,Elsevier,Infection Genetics and Evolution,The emergence and maintenance of sickle cell hotspots in the mediterranean,1770.62,0,
590,590,23137753,Elsevier,Int Journal for Parasitology,Flow cytometry-assisted rapid isolation of recombinant Plasmodium berghei parasites exemplified by functional analysis of aquaglyceroporin.,2294.0,0,
591,591,PMC3407873,Elsevier,International Health,Treatment of schistosomiasis in African infants and preschool-aged children: downward extension and biometric optimisation of the current praziquantel dose pole,1413.88,100,International health
592,592,,Elsevier,International Journal for Parasitology,Functional expression of TcoAT1 reveals it to be a P1-type nucleoside transporter with no capacity for diminazene uptake,1410.0,100,International journal for parasitology
593,593,,Elsevier,International journal of applied earth observation and geoinformation,"Mapping the distribution of the main host for plague in a complex landscape in Kazakhstan: An object-based approach using SPOT-5 XS, Landsat 7 ETM+, SRTM and multiple Random Forests",2330.12,92,International journal of applied earth observation and geoinformation : ITC journal
594,594,,Elsevier,International Journal of Biochemistry & Cell Biology,"Lipidomic profiling in Crohn's disease: Abnormalities in phosphatidylinositols, with preservation of ceramide, phosphatidylcholine and phosphatidylserine composition",2384.53,100,The international journal of biochemistry & cell biology
595,595,PMC3819990 ,Elsevier,International Journal of Cardiology,"Mortality from Ischaemic Heart Disease by Country, Region, and Age: Statistics from World Health Organisation and United Nations data",1128.42,100,International journal of cardiology
596,596,PMC3819621,Elsevier,International Journal of Cardiology,Defining cardiac adaptations and safety of endurance training in patients with m.3243A>G-related mitochondrial disease,2384.22,100,International journal of cardiology
597,597,PMID: 23932869 PMC3819985,Elsevier,International Journal of Cardiology,Cardioprotective SUR2A promotes stem cell properties of cardiomyocytes,2406.73,100,International journal of cardiology
598,598,PMC3572392,Elsevier,International Journal of Parasitology,Proteome analysis of the Theileria annulata schizont,2386.44,93,International journal for parasitology
599,599,PMC3472557,Elsevier,Journal of molecular biology,Structural Basis for ASPP2 Recognition by the Tumor Suppressor p73.,2264.2,100,
600,600,23291110,ELSEVIER,The Journal of steroid biochemistry and molecular biology,The structural biology of oestrogen metabolism.,2322.57,100,
601,601,PMC3343258,Elsevier,Journal of Affective Disorders,Predictors of maternal psychological distress in rural India: A cross-sectional community-based study,2283.58,100,Journal of affective disorders
602,602,PMC3161178,Elsevier,Journal of Affective Disorders,The effects of postnatal maternal depression and anxiety on the processing of baby faces,2323.49,100,Journal of affective disorders
603,603,PMC3161179,Elsevier,Journal of Affective Disorders,Healthcare costs of paternal depression in the postnatal period,2357.04,100,Journal of affective disorders
604,604,PMC3781323 ,Elsevier,Journal of Affective Disorders ,Prevalence and correlates of depression among HIV- infected and -affected older people in rural South Africa,1530.77,98,Journal of affective disorders
605,605,PMC3526791,Elsevier,JOURNAL OF ALLERGY & CLINICAL IMMUNOLOGY,Functional KCa3.1 K+ channels are required for human fibrocyte migration,2277.79,95,The Journal of allergy and clinical immunology
606,606,PMC3526795,Elsevier,JOURNAL OF ALLERGY & CLINICAL IMMUNOLOGY,CRACM/ Orai ion channel expression and function in human lung mast cells,2277.8,95,The Journal of allergy and clinical immunology
607,607,PMCID: PMC3629941,Elsevier,Journal of Allergy and Clinical Immunology,Inflammation in common variable immunodeficiency is associated with a distinct CD8(+) response to cytomegalovirus,1914.82,100,The Journal of allergy and clinical immunology
608,608,23806636,Elsevier,Journal of allergy and clinical immunology,Prenatal alcohol exposure and childhood atopic disease: a Mendelian randomization approach,2320.04,100,The Journal of allergy and clinical immunology
609,609,,Elsevier,Journal of Allergy and Clinical Immunology,Reduced type I interferon production by dendritic cells and weakened antiviral immunity in patients with Wiskott-Aldrich syndrome protein deficiency,2382.49,100,The Journal of allergy and clinical immunology
610,610,,Elsevier,Journal of Anthropological Archaeology,"Food and social complexity at ÃayÃ¶nÃ¼ Tepesi, southeastern Anatolia: Stable isotope evidence of differentiation in diet according to burial practice and sex in the early Neolithic",2470.01,100,Journal of anthropological archaeology
611,611,PMC3617599,Elsevier,Journal of Archaeological Science,Organic geochemical analysis of archaeological medicine pots from Northern Ghana. The multi-functionality of pottery,2243.55,100,Journal of archaeological science
612,612,,Elsevier,Journal of Behavior Therapy and Experimental Psychiatry,Contextualisation in the Revised Dual Representation Theory of PTSD,1442.64,100,Journal of behavior therapy and experimental psychiatry
613,613,PMC3545201,Elsevier,Journal of Behavior Therapy and Experimental Psychiatry,Imagery in the aftermath of viewing a traumatic film: Using cognitive tasks to modulate the development of involuntary memory,2332.6,100,Journal of behavior therapy and experimental psychiatry
614,614,PMC3566479,Elsevier,Journal of Behaviour therapy and Experimental Psychiatry,Cognitive behavioural treatment of insomnia in patients with persecutory delusions: a pilot trial   ,2375.14,99,Journal of behavior therapy and experimental psychiatry
615,615,,Elsevier,Journal of Clinical Epidemiology,Systematic Reveiw of the Hawthorn effect: New concepts are  ....,1955.21,100,Journal of clinical epidemiology
616,616,PMC3793856,Elsevier,Journal of Clinical Virology,Ecological and taxonomic variations among human RNA viruses,2486.13,94,Journal of clinical urology
617,617,PMID:23642644  PMC3851688 ,Elsevier,Journal of cycstic fibrosis,Extensive diversification is a common feature of Pseudomonas aeruginosa populations during respiratory infections in cystic fibrosis,2396.85,0,
618,618,PMCID: PMC3625113,Elsevier,Journal of Hepatology,"Gamma H2AX+CD8+ T-lymphocytes cannot respond to Interferon-alpha, Il-2 or Il-6 in chronic hepatitis C virus infection",2328.24,100,Journal of hepatology
619,619,PMC3710969,Elsevier,Journal of Hepatology,Pathogenesis of FOLFOX induced sinisoidal obstruction syndrome in murine chemotherapy model,2366.57,100,Journal of hepatology
620,620,,Elsevier,Journal of Historical Geography,The making of urban ÂhealtheriesÂ: Lord Brabazon and the transformation of cemeteries and burial grounds in late-Victorian East London,596.46,100,Journal of historical geography
621,621,PMC3580288,Elsevier,Journal of Hospital Infections,"Evaluation of surveillance for surgical site infections in Thika Hospital, Kenya",2293.37,98,The Journal of hospital infection
622,622,PMID:23046967 /PMCID: PMC3540259,Elsevier,Journal of Infection,The prevalence of cryptococcal antigenemia in newly diagnosed HIV patients in a Southwest London cohort,2286.09,100,The Journal of infection
623,623,"PMCID: PMC3466423
",Elsevier,Journal of Mechanisms of Ageing and Development,Frequency distribution analysis of activation times and regional fibrosis in murine Scn5a+/- hearts: the effects of ageing and sex ,2696.34,90,Mechanisms of ageing and development
624,624,PMC3437440,Elsevier,Journal of Molecular Biology,Selective Deactivation of Serum IgG: A General Strategy for the Enhancement of Monoclonal Antibody Receptor Interactions,2192.89,100,Journal of molecular biology
625,625,23318955  PMCID: PMC3593212 ,Elsevier,Journal of Molecular Biology,"Sequence-specific, RNA-protein interactions overcome electrostatic barriers preventing assembly of Satellite Tobacco Necrosis Virus coat protein",2372.01,100,Journal of molecular biology
626,626,PMCID: PMC3605589,Elsevier,Journal of Molecular Biology,A ÂmechanisticÂ explanation of the multiple helical forms adopted by bacterial flagellar filaments,2455.82,100,Journal of molecular biology
627,627,PMCID:PMC3759848,Elsevier,Journal of Neuroscience Methods,A Comparison of Automated Anatomical-Behavioural Mapping Methods in a Rodent Model of Stroke,1442.48,100,Journal of neuroscience methods
628,628,PMCID: PMC3683149 ,Elsevier,Journal of Neuroscience Methods,Registration of Challenging Pre-clinical Brain Images,2420.16,100,Journal of neuroscience methods
629,629,PMCID: PMC3383891,Elsevier,Journal of Nutrition Education and Behaviour,Examining multiple parenting behaviours on young childrenÂs dietary fat consumption,2321.23,99,Journal of nutrition education and behavior
631,631,PMCID: PMC3714598,Elsevier,Journal of Proteomics,Cleaning up the masses: Exclusion lists to reduce contamination with HPLC-MS/MS.,2471.41,100,Journal of proteomics
632,632,PMC3714596 ,Elsevier,Journal of Proteomics,Quantitative cross-linking/mass spectrometry using isotope-labelled cross-linkers.,2980.36,100,Journal of proteomics
633,633,PMC3137789,Elsevier,Journal of Structural Biology,Cells under siege: Viral glycoprotein interactions at the cell surface,1939.95,100,Journal of structural biology
634,634,PMC3477309,Elsevier,Journal of Structural Biology,Automation of large scale transient protein expression in mammalian cells,1939.95,100,Journal of structural biology
635,635,PMC3477310,Elsevier,Journal of Structural Biology,How vaccinia virus has evolved to subvert the host immune response,1939.95,100,Journal of structural biology
636,636,PMC3477311,Elsevier,Journal of Structural Biology,Recording information on protein complexes in an information management system,1939.95,100,Journal of structural biology
637,637,PMC3477317,Elsevier,Journal of Structural Biology,xtalPiMS: A PiMS-based web application for the management and monitoring of crystallization trials,1939.95,100,Journal of structural biology
638,638,PMC3477320,Elsevier,Journal of Structural Biology,From SPINE to SPINE-2 complexes and beyond,1939.95,100,Journal of structural biology
639,639,PMC3355306,Elsevier,Journal of Structural Biology,Cryo-electron tomography and 3-D analysis of the intact flagellum in trypanosoma brucei,2284.19,100,Journal of structural biology
640,640,3698441,Elsevier,Journal of Structural Biology,A method to achieve homogeneous dispersion of large transmembrane complexes within the holes of carbon films for electron cryomicroscopy,2328.43,100,Journal of structural biology
